MODEL,MAKE,Model Year,Overall Length,Overall Width,Overall Height,Wheelbase,Curb Weight,Front End Length,Rear End Length,Side Glass Height,Body Side Height,Roof Width,Front Overhang,Rear Overhang,Track Width Front,Track Width Rear,Front Weight %,Rear Weight %
CORVETTEZR1COUPE2DRRWD,CHEVROLET,9,447.0,193.0,124.0,269.0,1521.0,151.0,30.0,28.0,74.0,101.0,93.0,85.0,162.0,161.0,51.0,49.0
COUNTRYMAN4DRSUVBASES,MINI,11,410.0,179.0,156.0,260.0,1295.0,107.0,135.0,37.0,84.0,102.0,76.0,74.0,153.0,156.0,58.0,42.0
COUNTRYMANCOOPER,MINI,17,431.0,182.0,156.0,267.0,1497.0,114.0,144.0,39.0,89.0,96.0,84.0,81.0,158.0,158.0,58.0,42.0
COUNTRYMANCOOPERALL44DRSUV,MINI,17,431.0,182.0,156.0,267.0,1592.0,114.0,144.0,39.0,89.0,96.0,84.0,81.0,158.0,158.0,58.0,42.0
COUNTRYMANCOOPERSALL44DRSUV,MINI,11,411.0,179.0,156.0,260.0,1475.0,107.0,135.0,37.0,84.0,102.0,76.0,74.0,153.0,156.0,58.0,42.0
COUNTRYMANCOOPERSALL44DRSUVAWD,MINI,11,411.0,179.0,156.0,260.0,1475.0,107.0,135.0,37.0,84.0,102.0,76.0,74.0,153.0,156.0,58.0,42.0
COUNTRYMANCOOPERSALL4JOHNCOOPERWORKSALL44DRSUV,MINI,17,431.0,182.0,156.0,267.0,1646.0,114.0,144.0,39.0,89.0,96.0,84.0,81.0,158.0,158.0,58.0,42.0
COUNTRYMANCOOPERSEALL4,MINI,17,431.0,182.0,156.0,267.0,1795.0,114.0,144.0,39.0,89.0,96.0,84.0,81.0,158.0,158.0,58.0,42.0
COUNTRYMANCOOPERSJOHNCOOPERWORKSALL44DRSUV,MINI,11,431.0,182.0,156.0,267.0,1646.0,114.0,144.0,39.0,89.0,96.0,84.0,81.0,158.0,158.0,58.0,42.0
COUNTRYMANJOHNCOOPERWORKSALL44DRSUV,MINI,11,411.0,179.0,156.0,260.0,1500.0,107.0,135.0,37.0,84.0,102.0,76.0,74.0,153.0,156.0,58.0,42.0
COUPECOOPERS2DRCOUPE,MINI,12,373.0,168.0,138.0,247.0,1215.0,105.0,39.0,29.0,77.0,119.0,70.0,57.0,146.0,147.0,63.0,37.0
COUPEJOHNCOOPERWORKS2DRCOUPE,MINI,12,373.0,168.0,138.0,247.0,1230.0,105.0,39.0,29.0,77.0,119.0,70.0,57.0,145.0,146.0,63.0,37.0
CROSSTOUR4DRHATCHBACKEXEXLFWD,HONDA,10,500.0,190.0,167.0,281.0,1694.0,139.0,118.0,35.0,80.0,111.0,103.0,116.0,165.0,164.0,58.0,42.0
CROSSTOUR4DRHATCHBACKEXLEXLNAVIAWD,HONDA,10,500.0,190.0,167.0,281.0,1864.0,139.0,118.0,35.0,80.0,111.0,103.0,116.0,165.0,164.0,58.0,42.0
CROSSTOUREXLAWD,HONDA,10,500.0,190.0,167.0,281.0,1845.0,139.0,118.0,35.0,80.0,111.0,103.0,116.0,165.0,164.0,58.0,42.0
CROSSTOUREXLFWD,HONDA,10,500.0,190.0,167.0,281.0,1755.0,139.0,118.0,35.0,80.0,111.0,103.0,116.0,165.0,164.0,58.0,42.0
CROSSTREK4DRSUVCONVENIENCE,SUBARU,20,447.0,180.0,162.0,267.0,1447.0,123.0,144.0,33.0,85.0,104.0,97.0,84.0,155.0,156.0,60.0,46.0
CROSSTREK4DRSUVLIMITED,SUBARU,20,447.0,180.0,162.0,267.0,1500.0,123.0,144.0,33.0,85.0,104.0,97.0,84.0,155.0,156.0,60.0,46.0
CROSSTREK4DRSUVSPORT,SUBARU,20,447.0,180.0,162.0,267.0,1481.0,123.0,144.0,33.0,85.0,104.0,97.0,84.0,155.0,156.0,60.0,46.0
