loss_history,weight_history
3096416.0,"[ 0.16859625 -0.1785361  -0.24001884 ...  0.08689083  0.06453261
  0.00560288]"
3742333.0,"[ 0.16767092 -0.17946295 -0.24094824 ...  0.08786388  0.06453261
  0.00660423]"
2902513.75,"[ 0.16675697 -0.18037792 -0.24186288 ...  0.08884544  0.06453261
  0.00760177]"
2895344.25,"[ 0.16581078 -0.18132529 -0.24280934 ...  0.08983289  0.06453261
  0.00859771]"
3501964.25,"[ 0.16485643 -0.1822801  -0.24376306 ...  0.09081925  0.06453261
  0.00959594]"
3003757.5,"[ 0.1639113  -0.18322526 -0.24470466 ...  0.09181395  0.06453261
  0.01059293]"
3322069.75,"[ 0.16299807 -0.18413694 -0.24561547 ...  0.09281201  0.06453261
  0.0115913 ]"
2939168.0,"[ 0.16219972 -0.18493396 -0.24641229 ...  0.09382075  0.06453261
  0.01258708]"
2661862.25,"[ 0.16159396 -0.18553905 -0.24701792 ...  0.0948405   0.06453261
  0.01357901]"
2972879.5,"[ 0.1612487  -0.18589105 -0.2473608  ...  0.09586751  0.06453261
  0.01457105]"
2464891.5,"[ 0.1611595  -0.18599129 -0.24745095 ...  0.09690603  0.06453261
  0.01555814]"
2364074.75,"[ 0.16127975 -0.18587898 -0.24732974 ...  0.09795654  0.06453261
  0.01653873]"
1983495.75,"[ 0.16158406 -0.18558101 -0.24702503 ...  0.09901902  0.06453261
  0.01751015]"
1897932.125,"[ 0.16205452 -0.18511546 -0.24655466 ...  0.10009363  0.06453261
  0.01847226]"
1939649.75,"[ 0.1626699  -0.18450405 -0.2459395  ...  0.10118081  0.06453261
  0.0194274 ]"
1803069.0,"[ 0.16339996 -0.18377778 -0.24521    ...  0.1022808   0.06453261
  0.0203739 ]"
1274552.75,"[ 0.1642121  -0.18296844 -0.24439874 ...  0.10339046  0.06453261
  0.0213029 ]"
1343149.25,"[ 0.16509628 -0.18208691 -0.2435153  ...  0.10451268  0.06453261
  0.0222177 ]"
931486.125,"[ 0.16603674 -0.18114915 -0.24257495 ...  0.10564353  0.06453261
  0.02311031]"
1019839.25,"[ 0.16702856 -0.18015961 -0.24158244 ...  0.10678707  0.06453261
  0.02398479]"
635026.25,"[ 0.16805537 -0.1791341  -0.24055621 ...  0.10793218  0.06453261
  0.02483103]"
450299.78125,"[ 0.16910736 -0.1780822  -0.23950528 ...  0.10907389  0.06453261
  0.02564472]"
380219.84375,"[ 0.17018156 -0.17700914 -0.23843144 ...  0.11021282  0.06453261
  0.02642389]"
280795.71875,"[ 0.17126961 -0.17592409 -0.23734497 ...  0.11134312  0.06453261
  0.02716592]"
59871.515625,"[ 0.17231031 -0.17488618 -0.23630749 ...  0.11241254  0.06453261
  0.02785321]"
76411.75,"[ 0.17325525 -0.17394471 -0.23536281 ...  0.11338506  0.06453261
  0.02847774]"
87521.6171875,"[ 0.17407311 -0.17313556 -0.23454702 ...  0.11423819  0.06453261
  0.02903762]"
296158.75,"[ 0.17467861 -0.17253397 -0.23393397 ...  0.11491325  0.06453261
  0.02952597]"
250335.140625,"[ 0.17500716 -0.17222063 -0.23359585 ...  0.11535733  0.06453261
  0.02993364]"
331026.40625,"[ 0.17505085 -0.17219634 -0.23354217 ...  0.11555246  0.06453261
  0.03025929]"
328019.0625,"[ 0.17486672 -0.17239685 -0.23371287 ...  0.11553819  0.06453261
  0.03051107]"
349757.53125,"[ 0.17448887 -0.17278813 -0.23408008 ...  0.11533674  0.06453261
  0.0306924 ]"
361291.03125,"[ 0.17396416 -0.17332822 -0.23459435 ...  0.11498838  0.06453261
  0.03080881]"
290786.75,"[ 0.17333716 -0.17397015 -0.2352127  ...  0.11453507  0.06453261
  0.03087294]"
233822.90625,"[ 0.17264225 -0.17468129 -0.2358996  ...  0.11400837  0.06453261
  0.03089387]"
151410.328125,"[ 0.17191733 -0.17542103 -0.23661752 ...  0.11344549  0.06453261
  0.03088517]"
130992.96875,"[ 0.17117086 -0.1761814  -0.23735875 ...  0.11285371  0.06453261
  0.03085019]"
117676.0234375,"[ 0.17043792 -0.17692791 -0.2380905  ...  0.11226539  0.06453261
  0.0308007 ]"
69557.7421875,"[ 0.16975541 -0.17762472 -0.23877034 ...  0.11171716  0.06453261
  0.03074972]"
71026.3828125,"[ 0.16914828 -0.17824566 -0.2393747  ...  0.11123088  0.06453261
  0.03070666]"
71626.3046875,"[ 0.16863115 -0.17877662 -0.23989084 ...  0.1108195   0.06453261
  0.03067755]"
71599.9765625,"[ 0.16820762 -0.17921318 -0.240314   ...  0.11048694  0.06453261
  0.03066554]"
74915.484375,"[ 0.16787687 -0.17955935 -0.24064572 ...  0.11023346  0.06453261
  0.03067108]"
101105.53125,"[ 0.16764146 -0.17980981 -0.2408868  ...  0.11005951  0.06453261
  0.03069771]"
97332.421875,"[ 0.16748218 -0.17998241 -0.241053   ...  0.10994931  0.06453261
  0.03074058]"
118313.8359375,"[ 0.16740695 -0.18007168 -0.24113835 ...  0.10991078  0.06453261
  0.03080267]"
127894.0390625,"[ 0.16741168 -0.1800804  -0.24113901 ...  0.10994267  0.06453261
  0.03088443]"
171480.78125,"[ 0.16750833 -0.17999867 -0.24104367 ...  0.11005577  0.06453261
  0.03098946]"
112723.21875,"[ 0.1676628  -0.17985892 -0.24088934 ...  0.11021923  0.06453261
  0.03110765]"
136369.1875,"[ 0.16788226 -0.17965578 -0.24066813 ...  0.11044049  0.06453261
  0.03124119]"
95959.59375,"[ 0.1681345  -0.17941827 -0.2404124  ...  0.11068983  0.06453261
  0.03138025]"
113650.09375,"[ 0.16842082 -0.17914754 -0.24012156 ...  0.11096852  0.06453261
  0.03152452]"
84669.390625,"[ 0.16868907 -0.17889224 -0.23985292 ...  0.11122806  0.06453261
  0.03165636]"
156412.640625,"[ 0.16891454 -0.17867991 -0.2396267  ...  0.11144743  0.06453261
  0.03176954]"
88934.3828125,"[ 0.16912511 -0.17848502 -0.23941505 ...  0.11165155  0.06453261
  0.03187221]"
70073.0546875,"[ 0.16930996 -0.17831537 -0.23922762 ...  0.11183163  0.06453261
  0.03196223]"
67740.8046875,"[ 0.16947189 -0.17816761 -0.23906238 ...  0.11199091  0.06453261
  0.03204108]"
113359.6484375,"[ 0.16963688 -0.17802316 -0.23889571 ...  0.11215367  0.06453261
  0.03211387]"
62366.484375,"[ 0.16975991 -0.17791983 -0.23877117 ...  0.11227843  0.06453261
  0.0321706 ]"
45405.28125,"[ 0.16984354 -0.17785507 -0.23868537 ...  0.11236706  0.06453261
  0.03221266]"
93690.515625,"[ 0.1698512  -0.1778642  -0.23867609 ...  0.1123876   0.06453261
  0.03222934]"
92409.6875,"[ 0.16978922 -0.17794254 -0.23873636 ...  0.11234521  0.06453261
  0.03222233]"
81008.640625,"[ 0.16969435 -0.17805277 -0.23882931 ...  0.11227255  0.06453261
  0.03220345]"
53680.5234375,"[ 0.16957493 -0.17818868 -0.23894912 ...  0.11217726  0.06453261
  0.03217447]"
44492.96875,"[ 0.16944636 -0.17833236 -0.23907824 ...  0.11207277  0.06453261
  0.03214147]"
90480.234375,"[ 0.16932143 -0.17847343 -0.239204   ...  0.11197052  0.06453261
  0.03210727]"
101886.109375,"[ 0.16915148 -0.17866074 -0.23937704 ...  0.11182828  0.06453261
  0.03205613]"
49714.68359375,"[ 0.16898802 -0.17884117 -0.23954588 ...  0.1116904   0.06453261
  0.03200573]"
52145.21484375,"[ 0.16884132 -0.17900392 -0.23969616 ...  0.11156739  0.06453261
  0.03195967]"
50358.2265625,"[ 0.16871    -0.17915072 -0.23982978 ...  0.11145771  0.06453261
  0.03191744]"
74683.9921875,"[ 0.16862713 -0.1792475  -0.23991261 ...  0.11139091  0.06453261
  0.03188969]"
55048.93359375,"[ 0.16857766 -0.179311   -0.23996383 ...  0.11135282  0.06453261
  0.03187168]"
54161.46484375,"[ 0.16852903 -0.17937373 -0.24001345 ...  0.11131594  0.06453261
  0.03185251]"
54172.4296875,"[ 0.16850193 -0.17941347 -0.24004127 ...  0.11129726  0.06453261
  0.03183999]"
90751.796875,"[ 0.16848081 -0.17944868 -0.2400656  ...  0.111283    0.06453261
  0.03182754]"
58361.796875,"[ 0.1684666  -0.17947635 -0.24008094 ...  0.11127448  0.06453261
  0.031817  ]"
53849.5078125,"[ 0.16846412 -0.17949262 -0.24008495 ...  0.11127707  0.06453261
  0.03180926]"
52733.81640625,"[ 0.168484   -0.17948571 -0.24006726 ...  0.11129856  0.06453261
  0.0318085 ]"
46229.625,"[ 0.16849326 -0.17948954 -0.24006176 ...  0.11131053  0.06453261
  0.03180372]"
63347.59765625,"[ 0.16851443 -0.17947954 -0.24003984 ...  0.11133425  0.06453261
  0.0318029 ]"
48213.51953125,"[ 0.16852365 -0.1794819  -0.2400332  ...  0.11134673  0.06453261
  0.03179767]"
64092.265625,"[ 0.16854466 -0.17947254 -0.24001302 ...  0.11137009  0.06453261
  0.0317953 ]"
114258.0078125,"[ 0.16862613 -0.17940366 -0.23992904 ...  0.11144798  0.06453261
  0.03181141]"
33230.625,"[ 0.16873333 -0.17930868 -0.23981997 ...  0.11154789  0.06453261
  0.03183574]"
68422.109375,"[ 0.16885376 -0.17920187 -0.23969625 ...  0.11166056  0.06453261
  0.03186325]"
224887.4375,"[ 0.16897395 -0.1790984  -0.23957258 ...  0.11177292  0.06453261
  0.03188892]"
45940.7265625,"[ 0.16908386 -0.17900558 -0.23945715 ...  0.11187733  0.06453261
  0.0319111 ]"
63124.48046875,"[ 0.16913804 -0.17896847 -0.23939686 ...  0.11193348  0.06453261
  0.03191561]"
36997.44921875,"[ 0.16915691 -0.17896594 -0.23937353 ...  0.11195771  0.06453261
  0.03190966]"
69713.5,"[ 0.16918822 -0.17895347 -0.23933901 ...  0.11199258  0.06453261
  0.03190646]"
50653.7265625,"[ 0.16917084 -0.17899182 -0.23935893 ...  0.11198381  0.06453261
  0.03188698]"
75380.8203125,"[ 0.16908967 -0.17909306 -0.23944153 ...  0.11192017  0.06453261
  0.0318477 ]"
45169.296875,"[ 0.16898826 -0.179214   -0.23954782 ...  0.11183731  0.06453261
  0.03180249]"
61496.69921875,"[ 0.1688557  -0.17936514 -0.23968904 ...  0.11172552  0.06453261
  0.03174793]"
60337.390625,"[ 0.16872549 -0.17951405 -0.23982805 ...  0.11161572  0.06453261
  0.0316933 ]"
64744.84375,"[ 0.16860074 -0.17965831 -0.2399642  ...  0.11150936  0.06453261
  0.03163962]"
86944.453125,"[ 0.1684653  -0.17981565 -0.240112   ...  0.11139425  0.06453261
  0.03158084]"
72633.6484375,"[ 0.16836324 -0.17994076 -0.24022636 ...  0.11130765  0.06453261
  0.03153181]"
46546.46875,"[ 0.16827676 -0.18005203 -0.2403287  ...  0.11123378  0.06453261
  0.03148701]"
72773.953125,"[ 0.16826594 -0.1800872  -0.24035394 ...  0.11122582  0.06453261
  0.03146664]"
61948.9140625,"[ 0.16827993 -0.1800959  -0.24035218 ...  0.1112411   0.06453261
  0.03145454]"
59412.80859375,"[ 0.16827555 -0.18012348 -0.24036679 ...  0.11124123  0.06453261
  0.03143612]"
39030.421875,"[ 0.16828962 -0.18013205 -0.2403636  ...  0.11125701  0.06453261
  0.03142402]"
41288.24609375,"[ 0.16830048 -0.1801448  -0.2403648  ...  0.11126972  0.06453261
  0.0314104 ]"
94005.65625,"[ 0.16837378 -0.18009649 -0.24029937 ...  0.11133798  0.06453261
  0.03141599]"
45796.5078125,"[ 0.16845669 -0.18003641 -0.2402238  ...  0.11141328  0.06453261
  0.0314258 ]"
74402.7421875,"[ 0.16855288 -0.17996284 -0.24013247 ...  0.11150084  0.06453261
  0.03143945]"
52305.3046875,"[ 0.16863658 -0.17990115 -0.2400566  ...  0.11157681  0.06453261
  0.03144917]"
74866.46875,"[ 0.16873303 -0.17982897 -0.23996805 ...  0.11166506  0.06453261
  0.03146144]"
50975.109375,"[ 0.16877776 -0.179806   -0.23993093 ...  0.11170788  0.06453261
  0.03145824]"
59905.9140625,"[ 0.16879217 -0.1798139  -0.23992398 ...  0.11172468  0.06453261
  0.03144526]"
80182.4609375,"[ 0.16879883 -0.17982826 -0.23992306 ...  0.1117348   0.06453261
  0.03142971]"
67082.3828125,"[ 0.16879609 -0.1798508  -0.23992975 ...  0.11173754  0.06453261
  0.03141125]"
76735.390625,"[ 0.16876347 -0.17990546 -0.23996863 ...  0.11171435  0.06453261
  0.03138223]"
80860.515625,"[ 0.16871592 -0.17997651 -0.2400276  ...  0.11167639  0.06453261
  0.03134811]"
65508.9765625,"[ 0.16867998 -0.1800368  -0.24007536 ...  0.11164739  0.06453261
  0.03131729]"
59589.75,"[ 0.16867389 -0.18006863 -0.24009183 ...  0.11164464  0.06453261
  0.03129553]"
91795.609375,"[ 0.16868289 -0.18008664 -0.24009238 ...  0.11165628  0.06453261
  0.03127732]"
225990.515625,"[ 0.16872719 -0.18006735 -0.24005452 ...  0.11169922  0.06453261
  0.03127021]"
72635.7578125,"[ 0.1687689  -0.18005006 -0.24001713 ...  0.11174009  0.06453261
  0.03126285]"
77721.9609375,"[ 0.16879462 -0.18004784 -0.2399977  ...  0.11176615  0.06453261
  0.03124988]"
111322.046875,"[ 0.16884565 -0.18001987 -0.23995088 ...  0.11181533  0.06453261
  0.03124423]"
68969.53125,"[ 0.16887115 -0.1800152  -0.23992822 ...  0.11184151  0.06453261
  0.03123158]"
68279.6875,"[ 0.16885307 -0.18005045 -0.23994733 ...  0.11183127  0.06453261
  0.03120653]"
30683.41015625,"[ 0.16881076 -0.1801098  -0.23999266 ...  0.11179916  0.06453261
  0.0311747 ]"
60156.953125,"[ 0.16878246 -0.18015487 -0.24002394 ...  0.11177895  0.06453261
  0.03114754]"
87175.6796875,"[ 0.16875196 -0.18020383 -0.24005541 ...  0.11175824  0.06453261
  0.0311187 ]"
43517.48828125,"[ 0.16871215 -0.18026005 -0.24009703 ...  0.11172768  0.06453261
  0.03108814]"
62530.203125,"[ 0.1686306  -0.18035844 -0.24018332 ...  0.11166133  0.06453261
  0.03104413]"
56554.5703125,"[ 0.16856031 -0.18044648 -0.2402616  ...  0.11160347  0.06453261
  0.03100369]"
35805.32421875,"[ 0.16850631 -0.18051852 -0.2403253  ...  0.11155889  0.06453261
  0.03096866]"
41660.125,"[ 0.16844687 -0.18059687 -0.2403989  ...  0.11150818  0.06453261
  0.03093174]"
37527.0859375,"[ 0.16838567 -0.18067421 -0.240475   ...  0.1114556   0.06453261
  0.03089571]"
80443.75,"[ 0.16836609 -0.18071422 -0.24051079 ...  0.11144047  0.06453261
  0.03087084]"
55472.50390625,"[ 0.16835387 -0.18074575 -0.24053676 ...  0.11143214  0.06453261
  0.03084844]"
36342.59375,"[ 0.16832261 -0.18079716 -0.24058445 ...  0.11140645  0.06453261
  0.03082006]"
75096.6796875,"[ 0.16832833 -0.18081474 -0.240596   ...  0.11141276  0.06453261
  0.03080212]"
60354.734375,"[ 0.16831008 -0.18085691 -0.2406318  ...  0.11139861  0.06453261
  0.03077609]"
47097.2734375,"[ 0.16826487 -0.18092582 -0.24069677 ...  0.11135986  0.06453261
  0.03074168]"
51886.9453125,"[ 0.16824201 -0.18096896 -0.24073674 ...  0.11134044  0.06453261
  0.03071566]"
45794.98828125,"[ 0.16820665 -0.18102549 -0.24079004 ...  0.11131103  0.06453261
  0.03068518]"
84458.6640625,"[ 0.16821803 -0.18103352 -0.24079406 ...  0.11132191  0.06453261
  0.0306698 ]"
57965.3515625,"[ 0.16827404 -0.18099703 -0.24074952 ...  0.11137203  0.06453261
  0.03066877]"
67415.3203125,"[ 0.16833384 -0.1809533  -0.24069266 ...  0.111429    0.06453261
  0.03067002]"
72125.5625,"[ 0.16840851 -0.18089427 -0.24061823 ...  0.11150008  0.06453261
  0.03067641]"
56290.1953125,"[ 0.16849108 -0.1808276  -0.24053836 ...  0.11157653  0.06453261
  0.03068514]"
90533.8359375,"[ 0.16859068 -0.18074052 -0.24044502 ...  0.11166693  0.06453261
  0.03069782]"
57242.63671875,"[ 0.16867296 -0.18067205 -0.24037194 ...  0.11174136  0.06453261
  0.03070512]"
92264.671875,"[ 0.16877718 -0.18058276 -0.24027252 ...  0.1118355   0.06453261
  0.03071874]"
58891.62109375,"[ 0.16880246 -0.1805706  -0.24025127 ...  0.11186218  0.06453261
  0.03070914]"
59911.625,"[ 0.16882485 -0.18056178 -0.24023597 ...  0.11188531  0.06453261
  0.03069892]"
67407.2578125,"[ 0.1688108  -0.1805911  -0.24025472 ...  0.1118781   0.06453261
  0.03067741]"
72970.890625,"[ 0.16876362 -0.18065496 -0.24030744 ...  0.11184365  0.06453261
  0.03064443]"
68910.6328125,"[ 0.16873765 -0.18069792 -0.24034077 ...  0.11182587  0.06453261
  0.03061785]"
48361.70703125,"[ 0.1686796  -0.18077098 -0.24040723 ...  0.11177907  0.06453261
  0.03058285]"
33905.45703125,"[ 0.16860934 -0.18085623 -0.24048956 ...  0.11172085  0.06453261
  0.03054422]"
55675.12109375,"[ 0.16850168 -0.18097536 -0.24060391 ...  0.11163216  0.06453261
  0.03049542]"
45745.625,"[ 0.16839696 -0.18109323 -0.2407138  ...  0.11154677  0.06453261
  0.03044694]"
96917.859375,"[ 0.16830769 -0.18119779 -0.24080284 ...  0.111478    0.06453261
  0.03040182]"
65836.28125,"[ 0.16827847 -0.1812421  -0.24083012 ...  0.11146056  0.06453261
  0.03037575]"
49765.765625,"[ 0.16825205 -0.1812855  -0.24085379 ...  0.11144606  0.06453261
  0.03034984]"
75154.046875,"[ 0.1682666  -0.18128912 -0.24083751 ...  0.11146683  0.06453261
  0.03033642]"
56265.51953125,"[ 0.16825256 -0.18132424 -0.24085593 ...  0.11146166  0.06453261
  0.03031302]"
78515.6796875,"[ 0.16827105 -0.18132824 -0.24084029 ...  0.11148515  0.06453261
  0.0302986 ]"
52702.265625,"[ 0.1682783  -0.18134584 -0.24084109 ...  0.11149871  0.06453261
  0.03027979]"
81496.84375,"[ 0.16828811 -0.18136285 -0.24083719 ...  0.11151545  0.06453261
  0.03026078]"
42227.359375,"[ 0.16826531 -0.18141212 -0.2408663  ...  0.11150415  0.06453261
  0.03023175]"
32666.265625,"[ 0.16825448 -0.1814485  -0.24088578 ...  0.11150114  0.06453261
  0.03020701]"
42358.3515625,"[ 0.16825722 -0.18146944 -0.24088977 ...  0.11150917  0.06453261
  0.03018719]"
46694.1484375,"[ 0.16829674 -0.18145415 -0.24085991 ...  0.11154717  0.06453261
  0.03017895]"
237722.140625,"[ 0.16837738 -0.18139811 -0.24079326 ...  0.11161952  0.06453261
  0.0301818 ]"
45501.23046875,"[ 0.16844323 -0.18135849 -0.24074478 ...  0.11167838  0.06453261
  0.03017987]"
53156.15625,"[ 0.1685045  -0.18132332 -0.24070181 ...  0.1117323   0.06453261
  0.03017673]"
234492.265625,"[ 0.16862743 -0.1812248  -0.2405927  ...  0.11183959  0.06453261
  0.03019224]"
63414.12890625,"[ 0.16867931 -0.18119852 -0.24055998 ...  0.11188551  0.06453261
  0.03018526]"
69083.15625,"[ 0.16866691 -0.18123576 -0.24058753 ...  0.11187966  0.06453261
  0.0301586 ]"
54187.20703125,"[ 0.16861339 -0.18131429 -0.24065234 ...  0.11184108  0.06453261
  0.03011962]"
89159.03125,"[ 0.16858736 -0.1813669  -0.24068908 ...  0.11182839  0.06453261
  0.03008745]"
83746.984375,"[ 0.16856533 -0.18141955 -0.24072039 ...  0.1118215   0.06453261
  0.03005467]"
67113.3203125,"[ 0.16850768 -0.1815073  -0.24078837 ...  0.11178346  0.06453261
  0.03001106]"
47592.51953125,"[ 0.16841073 -0.18163349 -0.24089582 ...  0.11171079  0.06453261
  0.02995623]"
48023.01953125,"[ 0.16834377 -0.18173154 -0.24097651 ...  0.11166106  0.06453261
  0.0299111 ]"
48424.953125,"[ 0.16830438 -0.18180186 -0.24103376 ...  0.11163117  0.06453261
  0.02987509]"
67484.203125,"[ 0.16830489 -0.18182892 -0.241044   ...  0.11163556  0.06453261
  0.02985257]"
50202.28125,"[ 0.1683135  -0.18185118 -0.24105029 ...  0.11164571  0.06453261
  0.02983163]"
46490.7265625,"[ 0.16833235 -0.18186258 -0.24104859 ...  0.1116638   0.06453261
  0.02981421]"
105014.5,"[ 0.16837291 -0.18184952 -0.24102923 ...  0.11169831  0.06453261
  0.02980387]"
70007.3203125,"[ 0.1684074  -0.18184246 -0.24101369 ...  0.11172792  0.06453261
  0.02979127]"
44239.91015625,"[ 0.16842064 -0.18185952 -0.24101716 ...  0.11174268  0.06453261
  0.02977076]"
54212.76171875,"[ 0.16843265 -0.18187593 -0.24102099 ...  0.11175601  0.06453261
  0.02975063]"
65599.2890625,"[ 0.16845645 -0.1818804  -0.24101345 ...  0.1117778   0.06453261
  0.02973392]"
53683.5390625,"[ 0.16842353 -0.18193606 -0.24105945 ...  0.1117497   0.06453261
  0.02970243]"
43999.1171875,"[ 0.1683891  -0.18199138 -0.24110559 ...  0.11172059  0.06453261
  0.02967188]"
81054.9375,"[ 0.16833977 -0.18206349 -0.24116735 ...  0.11167824  0.06453261
  0.02963557]"
